X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12 X13 X14 X15 X16 X17 X18 X19 X20
2 2 - - 2 - 2 2 2 2 - 2 2 - - - - - 2 -
1 1 -1.4192437605168355 2.109688536950225 1 0.663701454843972 0 0 1 1 -0.44234218985813717 0 0 -1.0086456638504895 0.7328477017738171 1.2298300707178442 -2.6790073183169776 -1.15467279262643 0 -1.3244124194649514
0 0 -1.05939616165838 -2.813660861755793 1 -3.3124687622328155 1 0 0 1 -1.6681820177572748 1 1 -2.6076916831880803 1.2123474859096743 -2.1718889107900496 -3.7310224187960874 -2.0776186198287006 0 1.299385579205784
0 1 -0.33483696343484914 2.0471651873507293 0 -2.985529842948333 0 1 0 1 2.8581251569665875 0 1 2.7925622535697845 -1.0040995336584921 1.2209321669206916 2.241870229781245 4.146119741049958 1 -0.21639105927898394
1 1 -5.984520469178828 -0.5753632879108073 0 0.01884085231683493 0 1 0 0 -3.1912642668394224 1 0 -3.015017467221638 -1.8347488726646184 4.569599164656949 0.38875585907664756 0.5629472053592937 0 1.2334234381776645
1 1 0.05680616629578228 -0.18695577902784866 0 1.0914157199733052 1 1 1 0 0.8789741861731397 0 0 3.3255441119634552 -3.6292638107220436 0.515552587867981 -2.4130473763423654 -1.9777368262041457 1 -0.3438877274440916
1 1 -0.686692664526674 3.90842155444201 0 -0.0057903602286553234 0 0 0 0 -3.9186083429472376 0 1 4.593765504433871 -0.4602075588893185 3.2485100811352567 -1.040013660365605 1.0055523111652898 1 -0.12364747219973554
1 1 1.6842005044393407 3.227217663249826 0 -0.5412771348973022 1 1 0 0 -2.0786849010741424 1 1 -0.37169393622763647 -3.1511275302422432 4.283761938342372 -1.6269373346610305 -1.070192727422128 0 -3.5266148933924204
0 1 -0.2426054871460277 -0.3295000056219159 0 1.6526194968264913 1 0 0 1 -1.582568288038192 0 0 -1.0489103130277826 0.19781252399808866 -0.534881604564731 7.191726186873304 -6.250046678372559 1 1.0045408168494396
0 1 1.464804260085787 4.189665768618515 0 0.186447321177489 1 1 1 0 -2.2164394470321698 1 0 1.4792481472818302 -7.670552840177332 2.975860840745308 0.7597508580270483 1.2413064967207814 0 1.9811332843233553
1 1 -0.6960645004124394 -4.583227439785231 0 0.9194198936634507 1 1 1 1 0.8855610753971779 1 1 2.7266685131075796 -2.5750634683651343 -0.08959581715810705 -1.8464720071000456 0.3754889252578658 1 -1.2791685827590014
0 0 0.8323333856080992 -0.49922921619471927 0 0.23634154289386577 1 1 1 0 -1.0112027363002651 0 1 -0.20995176566716456 -0.9615103396591617 2.284635639953473 1.054467716549955 2.0020969536744797 0 -1.4455263019552262
1 1 -0.3400979497729267 0.5948008258851315 1 -0.11329835490735093 1 0 0 1 -3.922032134197605 0 1 0.4993656757718682 0.36252298623049145 0.5717895828033698 2.4329962645444754 0.45159906033095454 1 -0.7598217259432727
0 0 -4.270980730187808 -3.630816858948112 0 -0.0057054298962099705 1 0 0 1 -3.1104830141806286 0 1 -2.1560089338061212 4.411359629668623 -2.5203484813358417 2.9571071257717034 -0.0408064689338945 1 3.720040337036923
